Groups Identified	Total Attempts
1	4
0	4
1	4
1	4
1	4
0	4
0	4
4	4
1	4
1	4
0	4
1	4
0	4
0	4
4	4
0	4
4	4
2	4
2	4
0	4
2	4
2	4
2	4
1	4
2	4
1	4
2	4
1	4
4	4
0	4
0	4
0	4
1	4
1	4
0	4
4	4
1	4
2	4
1	4
2	4
2	4
0	4
0	4
2	4
1	4
2	4
1	4
2	4
1	4
2	4
1	4
0	4
2	4
2	4
1	4
0	4
2	4
1	4
1	4
2	4
1	4
0	4
1	4
1	4
2	4
0	4
0	4
1	4
1	4
0	4
0	4
0	4
2	4
2	4
1	4
0	4
1	4
4	4
0	4
0	4
1	4
1	4
4	4
1	4
2	4
4	4
0	4
2	4
0	4
2	4
0	4
0	4
2	4
0	4
4	4
